danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_hit
0.839,0.65,4.0,-3.38,0.0,0.212,0.666,0.0,0.126,0.7,90.015,198360.0,0
0.788,0.47,3.0,-5.676,1.0,0.221,0.698,0.0,0.209,0.64,85.961,204723.0,1
0.866,0.53,0.0,-6.347,0.0,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973.0,1
0.732,0.658,7.0,-5.932,1.0,0.0432,0.397,0.0,0.0964,0.578,104.983,190075.0,1
0.774,0.907,7.0,-5.919,0.0,0.0514,0.0865,0.0021,0.65,0.691,111.015,214329.0,1
0.896,0.318,0.0,-11.181,0.0,0.0419,0.425,1.1e-06,0.158,0.605,109.995,118600.0,0
0.825,0.869,1.0,-5.335,1.0,0.334,0.0227,0.103,0.279,0.699,132.055,226672.0,0
0.623,0.681,2.0,-6.155,1.0,0.0407,0.0508,0.0,0.372,0.351,94.969,179684.0,0
0.507,0.958,1.0,-4.688,1.0,0.0588,0.000123,6.06e-05,0.378,0.362,105.034,196979.0,1
0.706,0.614,11.0,-7.89,0.0,0.079,0.0234,1.24e-06,0.121,0.538,104.984,269453.0,0
0.73,0.58,0.0,-7.976,1.0,0.124,0.0399,2.48e-05,0.0703,0.55,167.915,212412.0,1
0.785,0.595,0.0,-11.848,1.0,0.162,0.0777,0.863,0.1,0.727,122.97,382133.0,0
0.75,0.528,0.0,-9.387,0.0,0.0329,0.405,5.86e-05,0.0962,0.589,134.988,305296.0,0
0.542,0.971,7.0,-1.387,1.0,0.146,0.00257,0.00311,0.105,0.269,98.036,226252.0,0
0.634,0.958,0.0,-4.373,0.0,0.133,0.0578,0.000967,0.0841,0.561,95.034,284283.0,0
0.686,0.689,9.0,-4.73,0.0,0.0379,0.158,0.0,0.0422,0.446,120.031,255000.0,0
0.659,0.622,5.0,-7.796,0.0,0.0704,0.0171,0.226,0.303,0.734,170.003,208246.0,1
0.69,0.541,4.0,-11.667,0.0,0.0526,0.828,6.89e-06,0.101,0.959,80.915,298449.0,0
0.55,0.523,7.0,-11.545,1.0,0.0376,0.325,0.487,0.0388,0.867,115.116,369400.0,0
0.934,0.64,11.0,-7.386,0.0,0.108,0.154,2.55e-05,0.105,0.85,116.009,322013.0,0
0.341,0.604,11.0,-7.346,0.0,0.074,0.325,3.84e-05,0.951,0.244,68.198,201388.0,0
0.715,0.819,2.0,-5.116,1.0,0.257,0.114,0.0,0.172,0.633,170.398,114146.0,0
0.594,0.597,7.0,-6.229,0.0,0.0482,0.476,0.0,0.138,0.692,83.228,235502.0,0
0.116,0.154,4.0,-21.798,0.0,0.0391,0.789,0.907,0.09,0.0281,71.753,268909.0,0
0.445,0.977,0.0,-2.674,1.0,0.0995,0.000347,0.0235,0.126,0.239,105.825,184000.0,1
0.426,0.581,4.0,-9.228,0.0,0.152,0.828,0.00201,0.111,0.574,77.525,211960.0,0
0.648,0.916,1.0,-6.993,0.0,0.0303,0.0707,2.49e-05,0.0942,0.801,122.988,183354.0,0
0.294,0.354,7.0,-14.389,0.0,0.069,0.383,0.000591,0.104,0.129,87.196,108706.0,0
0.64,0.395,7.0,-10.896,1.0,0.181,0.827,0.0,0.0918,0.81,131.45,137280.0,0
0.554,0.578,0.0,-9.625,1.0,0.0733,0.559,0.0,0.087,0.255,138.604,326902.0,0
0.626,0.795,2.0,-8.566,1.0,0.0544,0.485,0.125,0.0861,0.338,120.0,231093.0,0
0.596,0.675,4.0,-4.029,0.0,0.0547,0.225,1.24e-06,0.197,0.38,168.902,184625.0,0
0.616,0.855,7.0,-6.196,1.0,0.322,0.519,0.0,0.107,0.655,155.033,168774.0,0
